,X,Y,Angle,Grand Prix,Straight_Line
208,2156.777959352973,-3996.1638897884586,,Miami Grand Prix,1709
209,1046.9178696057309,-3360.5102252932065,,Miami Grand Prix,1709
210,-188.62116786900052,-2736.249633171604,34.83,Miami Grand Prix,
211,-1459.0562636264087,-3089.8025534931103,29.57,Miami Grand Prix,
212,-2593.935981181753,-2769.2139905631443,54.34,Miami Grand Prix,
213,-3858.051168528806,-2759.324950239372,,Miami Grand Prix,
214,-4297.196082351748,-3565.141768544526,118.76,Miami Grand Prix,
215,-3846.128108141671,-4017.6753945238743,48.94,Miami Grand Prix,
216,-3108.3904857407124,-4025.933753572781,,Miami Grand Prix,641
217,-1869.637595062149,-4197.806601444405,,Miami Grand Prix,1815
218,-623.2005313664749,-4131.266040538245,,Miami Grand Prix,1815
219,541.4609819971457,-4072.584192496785,,Miami Grand Prix,
220,1805.6523368083192,-4256.576633702095,17.39,Miami Grand Prix,1600
221,2906.958865628091,-4561.327235963919,,Miami Grand Prix,1600
222,4708.968409468986,-4587.453925504116,26.38,Miami Grand Prix,3838
223,6429.332405894487,-4052.087957401099,,Miami Grand Prix,3838
224,7903.912873631337,-3441.253737527186,,Miami Grand Prix,3838
225,9519.036205727429,-2528.330618026523,,Miami Grand Prix,
226,9745.463208323545,-2078.1541942820777,104.13,Miami Grand Prix,
227,9361.601900236024,-1716.3303474265444,,Miami Grand Prix,
228,9176.489279080484,-1286.528861285644,111.37,Miami Grand Prix,
229,9794.96937641906,-859.684194930227,,Miami Grand Prix,
230,10405.356017122089,-602.2251712948723,49.65,Miami Grand Prix,
231,10559.696792528017,-93.52887187143703,10.08,Miami Grand Prix,
232,10412.040714584024,266.5373479356953,,Miami Grand Prix,
233,10525.764971391189,820.8439358576306,97.73,Miami Grand Prix,
234,10034.800715799827,1011.825871473592,,Miami Grand Prix,11638
235,9412.446731963197,1011.1055918920376,,Miami Grand Prix,11638
236,8156.919962676238,1004.2841841301054,,Miami Grand Prix,11638
237,6650.6856937942985,984.7054393877688,,Miami Grand Prix,11638
238,5572.365196360043,975.0667250990076,,Miami Grand Prix,11638
239,4066.432328371072,975.5106963937558,,Miami Grand Prix,11638
240,2124.241567351236,975.7293495315,,Miami Grand Prix,11638
241,902.078589819636,959.06632606354,,Miami Grand Prix,11638
242,-356.99204931826546,939.1132395635498,,Miami Grand Prix,
